title,ano,source,selection_criteria,status,comments,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa
Around-Device Interactions: A Usability Study of Frame Markers in Acquisition Tasks,2015.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Multi-Device,Tangible-Tokens,Tangibility,Colaboração presencial,,
Arrange-A-Space: tabletop interfaces and gender collaboration,2011.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
At home with surface computing?,2012.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,,
Attribute gates,2008.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Pen,Tangibility,Colaboração presencial,Promethean Activboard,
Augmented reality and tangible user interfaces integration for enhancing the user experience,2012.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,
"BIM4VET, Towards BIM Training Recommendation for AEC Professionals",2018.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,MultiTaction MT555UTB,"55"""
BacPack for New Frontiers: A Tangible Tabletop Museum Exhibit Exploring Synthetic Biology,2016.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,55” Multitaction Cell,55”
BacPack: Exploring the Role of Tangibles in a Museum Exhibit for Bio-Design,2017.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,55” MultiTaction Cell,55”
Balancing Act: Enabling Public Engagement with Sustainability Issues through a Multi-touch Tabletop Collaborative Game,2011.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,EventTable + Multi-touch,
Balancing Skills to Optimize Fun in Interactive Board Games,2009.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Tangible-Tokens,Tangibility,Colaboração presencial,Edutainment Sensor Platform (ESP),
Believable interaction with a quasi-tangible tabletop interface,2007.0,Scopus,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens","Gesture, Multi-touch, Tangibility",Colaboração presencial,,
Beyond one-size-fits-all: how interactive tabletops support collaborative learning,2011.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Block-oriented programming with tangibles: An engaging way to learn computational thinking skills,2017.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Multi-Device, Rear-Projected","Sensor-Assisted-Vision-Based, Tangible-Tokens",Multi-touch,Colaboração presencial,,
Bonfire: a nomadic system for hybrid laptop-tabletop interaction,2009.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,Pure-Vision-Based,"Gesture, Multi-touch, Tangibility",Usuário único,,
BotMap: Non-Visual Panning and Zooming with an Actuated Tabletop Tangible Interface,2018.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,MultiTaction MT420S,42”
BrainExplorer: an innovative tool for teaching neuroscience,2012.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Pen, Pure-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,
Branch-explore-merge: facilitating real-time revision control in collaborative visual exploration,2012.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Multi-Device, Rear-Projected",Sensor-Assisted-Vision-Based,Multi-touch,Colaboração remota,,"40"""
Bridging the cross-cultural language divide through design,2018.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,"Electrical-Based, Sound-Based","Multi-touch, Speech",Colaboração presencial,,
Browsing museum image collections on a multi-touch table,2012.0,Science@Direct,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,,34”
Calibration on Co-located Ad-Hoc Multi Mobile System,2016.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,"Embedded, Multi-Device","Electrical-Based, Pure-Vision-Based",Multi-touch,Colaboração remota,,
ChemicAble: Tangible Interaction Approach for learning Chemical Bonding,2013.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,
Children designing together on a multi-touch tabletop: an analysis of spatial orientation and user interactions,2009.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Children's haptic experiences of tangible artifacts varying in hardness,2008.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,,
Circuit in pieces: understanding electricity from electrons to light bulbs,2013.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
ClipWorks: a tangible interface for collaborative video editing,2018.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,
Co-Located Collaborative Visual Analytics around a Tabletop Display,2012.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,Microsoft Surface,30”
Co-located Collaborative Block-Based Programming,2019.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,Promethean ActivTable,46”
Co-narrating a conflict: An interactive tabletop to facilitate attitudinal shifts,2012.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,DiamondTouch,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
CoCoDeS: multi-device support for collocated collaborative learning design,2016.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Embedded, Multi-Device",Electrical-Based,Multi-touch,Colaboração presencial,,"40"""
CoDa: Collaborative Data Interpretation Through an Interactive Tangible Scatterplot,2020.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,"Electrical-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,,19”
CoR2Ds,2005.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Code Weaver: A Tangible Programming Learning Tool with Mixed Reality Interface,2019.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,
"Collaborating around Digital Tabletops: Children's Physical Strategies from India, the UK and Finland",2017.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração remota,,
Collaborating around vertical and horizontal large interactive displays: which way is best?,2004.0,Science@Direct,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,"Pen, Sensor-Assisted-Vision-Based",Tangibility,Colaboração presencial,,44.5”
Collaboration Around an Interactive Tabletop in Rehabilitation Settings,2016.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft PixelSense,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
Collaboration and interference: awareness with mice or touch input,2008.0,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Collaborative Practices that Support Creativity in Design,2009.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,Microsoft Surface,30”
Collaborative Problem Solving with Objects: Physical Aspects of a Tangible Tabletop in Technology-based Assessment,2012.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,50”
Collaborative Puzzle Game: Fostering collaboration in children with autistic spectrum disorder (ASD) and with typical development,2009.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Collaborative Puzzle Game: a tabletop interactive game for fostering collaboration in children with Autism Spectrum Disorders (ASD),2009.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Collaborative coupling over tabletop displays,2006.0,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,"Pen, Sensor-Assisted-Vision-Based","Tangibility, Touch",Colaboração presencial,,
Collaborative searching for video using the Fischlar system and a DiamondTouch table,2006.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
"Collaborative sensemaking on a digital tabletop and personal tablets: Prioritization, comparisons, and tableaux",2013.0,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Pen,Tangibility,Colaboração presencial,,
Collaborative simulation interface for planning disaster measures,2006.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,40”
Collaborative video searching on a tabletop,2006.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Collaborative visualization of engineering processes using tabletop augmented reality,2013.0,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Headset,Tangible-Tokens,Tangibility,Colaboração presencial,,
Combinatorix: A tangible user interface that supports collaborative learning of probabilities,2012.0,Scopus,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Pen, Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,
"Combining Mobile, Tangible and Virtual World Platforms to Support Participatory Campus Planning",2016.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,MultiTaction Cell Ultra-Thin Bezel (MT553UTB),"55"""
Combining and measuring the benefits of bimanual pen and direct-touch interaction on horizontal interfaces,2008.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Electrical-Based, Pen","Gesture, Multi-touch, Tangibility",Usuário único,DiamondTouch + Anoto Pen,42”
Communication Analysis of Remote Collaboration System with Arm Scaling Function,2013.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração remota,,
Communicative behaviors and flow experience in tabletop gaming,2009.0,Scopus,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,Pen,Tangibility,Colaboração presencial,,55”
Comparing Tangible and Multi-touch Interaction for Interactive Data Visualization Tasks,2016.0,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
Comparing a Single-Touch Whiteboard and a Multi-Touch Tabletop for Collaboration in School Museum Visits,2018.0,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,,46”
Comparing the Tangible Tutorial System and the Human Teacher in Intangible Cultural Heritage Education,2020.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Usuário único,,
Computer-Supported Creativity: Evaluation of a Tabletop Mind-Map Application,2007.0,Springer Link,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Construction defect management using a telematic digital workbench,2009.0,Science@Direct,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,
Cooperative gestures: multi-user gestural interactions for co-located groupware,2006.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
CrosSI: A Novel Workspace with Connected Horizontal and Vertical Interactive Surfaces,2018.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,"Multi-Device, Rear-Projected","Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,,
Cross-device transfer in a collaborative multi-surface environment without user identification,2014.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Embedded, Multi-Device",Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,
Design Interactions in ?elәwkw: Belongings,2016.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
Design Strategies for Collaborative Learning in Tangible Tabletops: Positive Interdependence and Reflective Pauses,2021.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft PixelSense,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
Design and evaluation of an interactive tabletop application for university open house,2014.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
Design and evaluation of graphical feedback on tangible interactions in a low-resolution edge display,2019.0,Scopus,Study evaluating digital tabletop techniques,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,MultiTaction MT550,"55"""
Design and evaluation techniques for authoring interactive and stylistic behaviors,2014.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,Microsoft Surface,30”
Design and implementation of multi-touch system using FTIR technique for optimization of finger touch detection,2010.0,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,
Designing Cultural Values into Interaction,2017.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
Designing Tangible and Multitouch Games for Autistic Children,2014.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
Designing a Collaborative Problem Solving Task in the Context of Urban Planning,2018.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Gesture, Tangibility",Colaboração presencial,,
Designing a Learning Robot to Encourage Collaboration Between Children,2021.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,,
Designing a tangible tabletop installation and enacting a socioenactive experience with TangiTime,2021.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,TangiTime,53”
Designing a user interface for a painting application supporting real watercolor painting processes,2012.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Tangibility,Usuário único,,
Designing and evaluating the tabletop game experience for senior citizens,2008.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,Visual Interaction Platform (VIP),
Designing environments for collaborative video editing,2008.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,
Designing reality-based interfaces for experiential bio-design,2013.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40 + Sifteo Cubes,40”
Designing social games for children and older adults: Two related case studies,2010.0,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,
Detecting interaction above digital tabletops using a single depth camera,2013.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,"Gesture, Multi-touch",Colaboração presencial,,
Development of Communication Support System at Mealtimes Using Tabletop Interface,2013.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Development of a Pervasive Game for ADHD Children,2019.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,NIKVision,
Development of a gaze-and-touch algorithm for a tabletop Hyakunin-Isshu game with a computer opponent,2012.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Eye-Tracking, Sensor-Assisted-Vision-Based, Wearables","Gaze, Touch",Usuário único,,
Development of eye-tracking pen display based on stereo bright pupil technique,2010.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Eye-Tracking, Pen","Gaze, Tangibility",Usuário único,,
Development of eye-tracking tabletop interface for media art works,2010.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Eye-Tracking, Pen, Sensor-Assisted-Vision-Based","Gaze, Tangibility",Colaboração presencial,,
DiamondSpin: An extensible toolkit for around-the-table interaction,2004.0,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Digital mysteries: designing for learning at the tabletop,2010.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Activboard,Front-Projected,Pen,Tangibility,Colaboração presencial,Promethean Activboard,
Dimensions of collaboration on a tabletop interface for children with autism spectrum disorder,2011.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Direct-touch vs. mouse input for tabletop displays,2007.0,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Distributed tabletops: territoriality and orientation in distributed collaboration,2007.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Pen,Tangibility,Colaboração remota,,
"Dollhouse VR: A multi-view, multi-user collaborative design workspace with VR technology",2015.0,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,Iiyama ProLite T2735MSC,"27"""
Dual Reality for Production Verification Workshops: A Comprehensive Set of Virtual Methods,2016.0,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
Dynamic Spatial Positioning: Physical Collaboration around Interactive Table by Children in India,2013.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,,
Dynamic Tangible User Interface Palettes,2013.0,Springer Link,Study describing digital tabletop techniques,Accepted,,"Multi-Device, Front-Projected","Pen, Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Usuário único,,
Dynamic tabletop interfaces for increasing creativity,2012.0,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
E-DUB-A: A Tangible Educational Resource Editor in Inclusive Classes,2019.0,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Usuário único,,
EGrid: supporting the control room operation of a utility company with multi-touch tables,2010.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,Microsoft Surface,30”
Effects of Viewing Conditions and Rotation Methods in a Collaborative Tabletop AR Environment,2011.0,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,,Headset,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,
Effects of a Tabletop Interface on the Co-construction of Concept Maps,2011.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,,50”
Embodied Machine Learning,2024.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,"Pelo vídeo da pra supor que é display embutido, multi-touch, igual a do astros",Embedded,Electrical-Based,Multi-touch,Colaboração presencial,,
Enabling Tangible Interaction on Non-touch Displays with Optical Mouse Sensor and Visible Light Communication,2022.0,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,Tangible-Tokens,Tangibility,Colaboração presencial,,
Enabling interaction with single user applications through speech and gestures on a multi-user tabletop,2006.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Electrical-Based, Sound-Based","Gesture, Multi-touch, Speech",Colaboração presencial,Diamond Touch + Gesture + Speech,42”
Engaging families around museum exhibits: Comparing tangible and multi-touch interfaces,2020.0,Scopus,Study evaluating digital tabletop techniques,Accepted,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,3M™ Multi-Touch Display,46’’
Enhancing genomic learning through tabletop interaction,2011.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,Microsoft Surface,30”
Envisioning the Emergency Operations Centre of the Future,2016.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted, Microsoft Perceptive Pixel,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,Microsoft Perceptive Pixel,"55"""
Eugenie: gestural and tangible interaction with active tokens for bio-design,2014.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40 + Active Tangible Tokens,40”
Evaluating Digital Tabletop Collaborative Writing in the Classroom,2015.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,SMART tables,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,SMART Table,
Evaluating heuristics for tabletop user segmentation based on simultaneous interaction,2013.0,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
Evaluating the Socioenactive Experience with a Tangible Tabletop Installation: A Case Study,2020.0,Springer Link,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,TangiTime,53”
Evaluating the effectiveness of spatial augmented reality in smart manufacturing: a solution for manual working stations,2017.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Pure-Vision-Based, Tangible-Tokens",Tangibility,Usuário único,,
Evaluating the effects of fluid interface components on tabletop collaboration,2006.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,,72”
Evaluation of Content Handling Methods for Tabletop Interface,2007.0,Springer Link,Study evaluating digital tabletop techniques,Accepted,,"Rear-Projected, Front-Projected",Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board + Top projected,
Evaluation of a Soft-Surfaced Multi-touch Interface,2013.0,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,"Gesture, Multi-touch",Colaboração presencial,,
Examining interactive surfaces for maritime operations,2013.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,Samsung SUR40,40”
Experience and Ownership with a Tangible Computational Music Installation for Informal Learning,2017.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,TuneTable,
Experiences with and observations of direct-touch tabletops,2006.0,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Experiences with building a thin form-factor touch and tangible tabletop,2008.0,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Tangibility",Usuário único,ThinSight,
Experimental Findings on Collaborative Interactions in a Co-Located Environment,2005.0,IEEE Digital Library,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,Multi-touch,Colaboração presencial,DiamondTouch,42”
Exploratory study on concurrent interaction in co-located collaboration,2007.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,[braccetto] research platform,46’’
Exploring Genetic Mutations on Mitochondrial DNA Cancer Data with Interactive Tabletop and Active Tangibles,2016.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,MultiTaction MT550,"55"""
Exploring How Tangible Tools Enable Collaboration in a Multi-touch Tabletop Game,2011.0,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Colaboração presencial,EventTable + Multi-touch,
Exploring How a Co-dependent Tangible Tool Design Supports Collaboration in a Tabletop Activity,2014.0,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Multi-touch,Colaboração presencial,Microsoft Surface,30”
