title,ano,source,selection_criteria,status,comments,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa,doi
Collaborative Puzzle Game: a tabletop interactive game for fostering collaboration in children with Autism Spectrum Disorders (ASD),2009,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1731903.1731940
Collaborative Puzzle Game: Fostering collaboration in children with autistic spectrum disorder (ASD) and with typical development,2009,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/ICVR.2009.5174242
Collaborative searching for video using the Fischlar system and a DiamondTouch table,2006,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1109/TABLETOP.2006.7
"Collaborative sensemaking on a digital tabletop and personal tablets: Prioritization, comparisons, and tableaux",2013,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Pen,Tangibility,Colaboração presencial,,,10.1145/2470654.2466458
Collaborative simulation interface for planning disaster measures,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Tangible-Tokens,Tangibility,Colaboração presencial,,40”,10.1145/1125451.1125639
Collaborative video searching on a tabletop,2006,Springer Link,Study describing digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/s00530-006-0064-7
Collaborative visualization of engineering processes using tabletop augmented reality,2013,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Headset,Tangible-Tokens,Tangibility,Colaboração presencial,,,https://doi.org/10.1016/j.advengsoft.2012.09.001
Combinatorix: A tangible user interface that supports collaborative learning of probabilities,2012,Scopus,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Pen, Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,10.1145/2396636.2396656
Combining and measuring the benefits of bimanual pen and direct-touch interaction on horizontal interfaces,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Pen, Electrical-Based","Gesture, Multi-touch, Tangibility, Touch",Usuário único,DiamondTouch + Anoto Pen,42”,10.1145/1385569.1385595
"Combining Mobile, Tangible and Virtual World Platforms to Support Participatory Campus Planning",2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction Cell Ultra-Thin Bezel (MT553UTB),"55""",10.1145/2992154.2996775
Communication Analysis of Remote Collaboration System with Arm Scaling Function,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based",Touch,Colaboração remota,,,10.1007/978-3-642-39330-3_40
Communicative behaviors and flow experience in tabletop gaming,2009,Scopus,Study evaluating digital tabletop techniques,Accepted,,Rear-Projected,Pen,Tangibility,Colaboração presencial,,55”,10.1145/1690388.1690436
Comparing a Single-Touch Whiteboard and a Multi-Touch Tabletop for Collaboration in School Museum Visits,2018,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Embedded,Electrical-Based,Multi-touch,Colaboração presencial,,46”,10.1145/3191738
Comparing Tangible and Multi-touch Interaction for Interactive Data Visualization Tasks,2016,ACM Digital Library,Study evaluating digital tabletop techniques,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/2839462.2839464
Comparing the Tangible Tutorial System and the Human Teacher in Intangible Cultural Heritage Education,2020,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility",Usuário único,,,10.1145/3357236.3395449
Computer-Supported Creativity: Evaluation of a Tabletop Mind-Map Application,2007,Springer Link,Study evaluating digital tabletop techniques,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/978-3-540-73331-7_3
Construction defect management using a telematic digital workbench,2009,Science@Direct,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Touch,Colaboração presencial,SMART Board,,https://doi.org/10.1016/j.autcon.2009.03.005
Cooperative gestures: multi-user gestural interactions for co-located groupware,2006,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1124772.1124952
CoR2Ds,2005,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1056808.1057021
Cross-device transfer in a collaborative multi-surface environment without user identification,2014,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,"Embedded, Multi-Device",Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1109/CTS.2014.6867568
CrosSI: A Novel Workspace with Connected Horizontal and Vertical Interactive Surfaces,2018,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,"Multi-Device, Rear-Projected","Sensor-Assisted-Vision-Based, Tangible-Tokens","Multi-touch, Tangibility, Touch",Colaboração presencial,,,10.1145/3279778.3279905
Design and evaluation of an interactive tabletop application for university open house,2014,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1109/SMC.2014.6974177
Design and evaluation of graphical feedback on tangible interactions in a low-resolution edge display,2019,Scopus,Study evaluating digital tabletop techniques,Accepted,,Embedded,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction MT550,"55""",10.1145/3321335.3324954
Design and evaluation techniques for authoring interactive and stylistic behaviors,2014,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”,10.1145/2499671
Design and implementation of multi-touch system using FTIR technique for optimization of finger touch detection,2010,IEEE Digital Library,Study describing digital tabletop techniques,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1109/ITSIM.2010.5561308
Design Interactions in ?elәwkw: Belongings,2016,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/2901790.2901912
Design Strategies for Collaborative Learning in Tangible Tabletops: Positive Interdependence and Reflective Pauses,2021,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Microsoft PixelSense,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1093/iwc/iwab026
Designing a Collaborative Problem Solving Task in the Context of Urban Planning,2018,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based","Gesture, Tangibility",Colaboração presencial,,,10.1007/978-3-319-97807-9_17
Designing a Learning Robot to Encourage Collaboration Between Children,2021,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1007/978-3-030-78448-5_11
Designing a tangible tabletop installation and enacting a socioenactive experience with TangiTime,2021,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,TangiTime,53”,10.1186/s13173-021-00112-y
Designing a user interface for a painting application supporting real watercolor painting processes,2012,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,Sensor-Assisted-Vision-Based,Tangibility,Usuário único,,,10.1145/2350046.2350091
Designing and evaluating the tabletop game experience for senior citizens,2008,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens",Tangibility,Colaboração presencial,Visual Interaction Platform (VIP),,10.1145/1463160.1463205
Designing Cultural Values into Interaction,2017,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1145/3025453.3025908
Designing environments for collaborative video editing,2008,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,Sensor-Assisted-Vision-Based,"Multi-touch, Touch",Colaboração presencial,,,10.1049/cp:20081137
Designing reality-based interfaces for experiential bio-design,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Sifteo Cubes,40”,10.1007/s00779-013-0752-1
Designing social games for children and older adults: Two related case studies,2010,Science@Direct,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,,,https://doi.org/10.1016/j.entcom.2010.09.001
Designing Tangible and Multitouch Games for Autistic Children,2014,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Embedded,"Tangible-Tokens, Sensor-Assisted-Vision-Based","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”,10.1007/978-3-319-08596-8_78
Detecting interaction above digital tabletops using a single depth camera,2013,Springer Link,Study describing digital tabletop techniques,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Vision-Based","Gesture, Multi-touch, Touch",Colaboração presencial,,,10.1007/s00138-013-0538-5
Development of a gaze-and-touch algorithm for a tabletop Hyakunin-Isshu game with a computer opponent,2012,IEEE Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,"Eye-Tracking, Sensor-Assisted-Vision-Based, Vision-Based, Wearables","Gaze, Touch",Usuário único,,,10.1109/ROMAN.2012.6343754
Development of a Pervasive Game for ADHD Children,2019,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Rear-Projected,"Sensor-Assisted-Vision-Based, Tangible-Tokens, Vision-Based",Tangibility,Colaboração presencial,NIKVision,,10.1007/978-3-030-06134-0_56
Development of Communication Support System at Mealtimes Using Tabletop Interface,2013,Springer Link,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1007/978-3-642-39265-8_19
Development of eye-tracking pen display based on stereo bright pupil technique,2010,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Pen, Eye-Tracking","Gaze, Tangibility",Usuário único,,,10.1145/1743666.1743707
Development of eye-tracking tabletop interface for media art works,2010,ACM Digital Library,Study describing digital tabletop techniques,Accepted,,Front-Projected,"Pen, Eye-Tracking, Sensor-Assisted-Vision-Based","Gaze, Tangibility",Colaboração presencial,,,10.1145/1936652.1936723
DiamondSpin: An extensible toolkit for around-the-table interaction,2004,Scopus,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,
Digital mysteries: designing for learning at the tabletop,2010,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,Activboard,Front-Projected,Pen,Tangibility,Colaboração presencial,Promethean Activboard,,10.1145/1936652.1936689
Dimensions of collaboration on a tabletop interface for children with autism spectrum disorder,2011,ACM Digital Library,Study describing digital tabletop application that mentions the hardware used,Accepted,,Front-Projected,Electrical-Based,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”,10.1145/1978942.1979431
