article,Ano,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa
Prototype of operator interface for monitoring and controlling in the mobile control room,2013,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
Task Assignment and Visualization on Tabletops and Smartphones,2014,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
Examining interactive surfaces for maritime operations,2013,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
[DEMO] Exploring multimodal interaction techniques for a mixed reality digital surface,2014,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
Dual Reality for Production Verification Workshops: A Comprehensive Set of Virtual Methods,2016,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
Physical dimensions of children's touchscreen interactions: Lessons from five years of study on the MTAGIC project,2019,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
MTi: A method for user identification for multitouch displays,2013,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
ObjecTop: Occlusion awareness of physical objects on interactive tabletops,2013,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
Affording embodied cognition through touchscreen and above-the-surface gestures during collaborative tabletop science learning,2021,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
An Investigation on a Suitable Information Structure of a Museum Environment for Large Display,2018,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
Collaboration Around an Interactive Tabletop in Rehabilitation Settings,2017,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
Designing Tangible and Multitouch Games for Autistic Children,2014,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
A Resilient Interaction Concept for Process Management on Tabletops for Cyber-Physical Systems,2014,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
Tangible Tens: Evaluating a Training of Basic Numerical Competencies with an Interactive Tabletop,2018,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
Circuit in pieces: understanding electricity from electrons to light bulbs,2013,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40,40”
Eugenie: gestural and tangible interaction with active tokens for bio-design,2014,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Active Tangible Tokens,40”
Subjective User Experience and Performance with Active Tangibles on a Tabletop Interface,2015,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Active Tangibles,40”
ART-Chess: A Tangible Augmented Reality Chess on Tabletop,2015,"Embutido, Headset","Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Headset,40”
A Comparative Study on Inter-Device Interaction: One-Handed Interaction VS Two-Handed Interaction,2016,"Embutido, Multi-Device","Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Mobile,40”
A Toolkit for Prototyping Tabletop-Centric Cross-Device Interaction,2020,"Embutido, Multi-Device","Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Mobile,40”
SkyHunter: a multi-surface environment for supporting oil and gas exploration,2013,Multi-Device,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Multi-Device + Kinect,40”
Designing reality-based interfaces for experiential bio-design,2014,Embutido,"Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Sifteo Cubes,40”
Investigating one-handed and two-handed inter-device interaction,2017,"Embutido, Multi-Device","Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Tablet,40”
PeriTop: Extending back-projected tabletops with top-projected peripheral displays,2013,"Embutido, Projetor superior","Tokens tangíveis, Sensor infravermelho","Multi-touch, Tangibility, Touch",Colaboração presencial,Samsung SUR40 + Top Projector + Kinect,40”
Interactive Tree Comparison for Co-located Collaborative Information Visualization,2007,Projetor inferior,Sensor infravermelho,Touch,Colaboração presencial,SMART Board,
Using Digital Tabletops to Support Distributed Agile Planning Meetings,2009,Projetor inferior,Sensor infravermelho,Touch,Colaboração presencial,SMART Board,
Evaluation of Content Handling Methods for Tabletop Interface,2007,"Projetor inferior, Projetor superior",Sensor infravermelho,Touch,Colaboração presencial,SMART Board + Top projected,
Using digital board games for genuine communication in EFL classrooms,2014,Projetor inferior,Sensor infravermelho,Touch,Colaboração presencial,SMART Board,
Tabletop AgilePlanner: A tabletop-based project planning tool for agile software development teams,2008,Projetor inferior,Sensor infravermelho,Touch,Colaboração presencial,SMART Board,
Interaction on the Tabletop: Bringing the Physical to the Digital,2010,Projetor inferior,Sensor infravermelho,Touch,Colaboração presencial,SMART Board,
Fluid integration of rotation and translation,2005,"Projetor inferior, Projetor superior",Sensor infravermelho,Touch,Colaboração presencial,SMART Board + Top projected,
Investigating menu discoverability on a digital tabletop in a public setting,2012,Embutido,Toque,Multi-touch,Colaboração presencial,SMART Table,28”
Supporting sandtray therapy on an interactive tabletop,2010,Embutido,Toque,Multi-touch,Colaboração presencial,SMART Table,
Exploring Narrative Gestures on Digital Surfaces,2014,Embutido,Toque,Multi-touch,Colaboração presencial,SMART Table,
Tables in the wild: Lessons learned from a large-scale multi-tabletop deployment,2013,Embutido,Toque,Multi-touch,Colaboração presencial,SMART Table,
Evaluating Digital Tabletop Collaborative Writing in the Classroom,2015,Embutido,Toque,Multi-touch,Colaboração presencial,SMART Table,
Storage bins: Mobile storage for collaborative tabletop displays,2005,Projetor inferior,Sensor infravermelho,Touch,Colaboração presencial,SMART Board,
Solar scramble: An educational children's game for collaborative multi-touch digital tabletops,2010,Embutido,Toque,Multi-touch,Colaboração presencial,SMART Table,
UD Co-Spaces: A Table-Centred Multi-Display Environment for Public Engagement in Urban Design Charrettes,2016,Embutido,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,SMART Technology Digital Vision Touch (DViT) tabletop,28”
MapTable: a tactical command and control interface,2006,Projetor inferior,Sensor infravermelho,Touch,Colaboração presencial,SMART Board,
Construction defect management using a telematic digital workbench,2009,Projetor inferior,Sensor infravermelho,Touch,Colaboração presencial,SMART Board,
StoryCrate: Tabletop storyboarding for live film production,2012,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Usuário único,StoryCrate,65”
Eye-Tracking in Educational Multi-Touch Games: Design-Based (interaction) research and great visions,2020,Embutido,"Tokens tangíveis, Toque","Tangibility, Touch",Colaboração presencial,TABULA project,
Reformulating clancey's generic tasks for bridging both sides of dual reality,2017,Embutido,Tokens tangíveis,Tangibility,Colaboração presencial,TangiSense,42.5”
A Design Model for Tangible Interaction: Case Study in Waste Sorting,2016,Embutido,Tokens tangíveis,Tangibility,Colaboração presencial,TangiSense,42.5”
