article,Ano,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa
SLFiducials: 6DoF markers for tabletop interaction,2013,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,,
RoboJockey: robotic dance entertainment for all,2012,Embutido,"Caneta, Sensor infravermelho","Multi-touch, Touch",Colaboração presencial,,23”
Tangible jukebox: back to palpable music,2010,Projetor inferior,"Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,,
Hyakunin-Eyesshu: a tabletop Hyakunin-Isshu game with computer opponent by the action prediction based on gaze detection,2011,Projetor superior,"Eye-Tracking, Sensor infravermelho, Visão computacional","Gaze, Multi-touch, Touch",Usuário único,,
SciSketch: a tabletop collaborative sketching system,2014,Projetor superior,"Caneta, Sensor infravermelho",Tangibility,Colaboração presencial,,
MP Remix: Relaxed WYSIWIS Immersive Interfaces for Mixed Presence Collaboration With 3D Content,2019,"Embutido, Headset",Toque,"Multi-touch, Touch","Colaboração presencial, Colaboração remota",,
Tangible 3D urban simulation table,2014,Projetor superior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,
ClipWorks: a tangible interface for collaborative video editing,2018,Projetor inferior,"Sensor infravermelho, Tokens tangíveis",Tangibility,Colaboração presencial,,
Exploring tangible and direct touch interfaces for manipulating 2D and 3D information on a digital table,2009,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,,72”
TangiTime: designing a (socio)enactive experience for deep time in an educational exhibit,2019,Projetor inferior,"Sensor infravermelho, Tokens tangíveis",Tangibility,Colaboração presencial,,
"Villains, architects and micro-managers: what tabula rasa teaches us about game orchestration",2013,Embutido,Toque,Multi-touch,Colaboração presencial,,46”
3D Tabletop User Interface Using Virtual Elastic Objects,2014,Projetor inferior,Visão computacional,Gesture,Usuário único,,
Group interaction on interactive multi-touch tables by children in India,2012,Projetor inferior,Sensor infravermelho,Multi-touch,Colaboração presencial,,50”
Paper-based concept map: the effects of tabletop on an expressive collaborative learning task,2009,Projetor superior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,,50”
