bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,"TEI '24: Proceedings of the Eighteenth International Conference on Tangible, Embedded, and Embodied Interaction",,,2024,ACM Digital Library,,,None,,,,,,,Association for Computing Machinery,,,,"Incomplete works, posters, summaries",45770.6051967593,45776.7284027778,gmfreitas,gmfreitas,Rejected,
,Tangible Interaction for Children’s Creative Learning: A Review,"Liang, Meng and Li, Yanhong and Weber, Thomas and Hussmann, Heinrich",,2021,ACM Digital Library,,,"Creativity is an important part of children’s education. Tangible User Interfaces&nbsp;(TUIs) provide new possibilities for creative learning. In this review, we gave an overview of recent studies that supported children’s creative learning using TUIs. Results showed that TUIs had many advantages, such as they (1)&nbsp;were novice-friendly, (2)&nbsp;supported children’s cognitive process and development, (3)&nbsp;promoted their initiatives, (4)&nbsp;enabled them to think outside the box, and (5)&nbsp;encouraged communication and collaboration in an authentic context. Meanwhile, we summarized previous work’s three main limitations: First, most of the studies did not have a long-term experimental verification with sufficient sample size and objective evaluation; Second, some TUI designs lacked a balance of abstractness, openness, richness, and complexity; Finally, the use of TUIs had little consideration of the teacher’s role. Therefore, further research should focus more on the trans-disciplinary nature of TUIs for creative learning and leverage collaboration between human-computer interaction researchers and school teachers.",,10.1145/3450741.3465262,https://doi.org/10.1145/3450741.3465262,,,"TUI, children, creative learning, review, tangible interaction, tangible user interface",Association for Computing Machinery,,,,The digital tabletop interface was not tangible,45770.6051967593,45776.6650347222,gmfreitas,gmfreitas,Rejected,
,Comparing Tangible and Multi-touch Interaction for Interactive Data Visualization Tasks,"Al-Megren, Shiroq and Ruddle, Roy A.",,2016,ACM Digital Library,279–286,,"Interactive visualization plays a key role in the analysis of large datasets. It can help users to explore data, investigate hypotheses and find patterns. The easier and more tangible the interaction, the more likely it is to enhance understanding. This paper presents a tabletop Tangible User Interface (TUI) for interactive data visualization and offers two main contributions. First, we highlight the functional requirements for a data visualization interface and present a tabletop TUI that combines tangible objects with multi-touch interaction. Second, we compare the performance of the tabletop TUI and a multi-touch interface. The results show that participants found patterns faster with the TUI. This was due to the fact that they adopted a more effective strategy using the tabletop TUI than the multi-touch interface.",,10.1145/2839462.2839464,https://doi.org/10.1145/2839462.2839464,,,"Tangible User Interface, biological data, multi-touch, tabletop display, tangible interaction, visualization",Association for Computing Machinery,,,,Study evaluating digital tabletop techniques,45770.6051967593,45782.9392939815,gmfreitas,gmfreitas,Accepted,
,A Meta-Analysis of Tangible Learning Studies from the TEI Conference,"Li, Yanhong and Liang, Meng and Preissing, Julian and Bachl, Nadine and Dutoit, Michelle Melina and Weber, Thomas and Mayer, Sven and Hussmann, Heinrich",,2022,ACM Digital Library,,,"Tangible learning has received increasing attention. However, in the recent decade, it has no comprehensive overview. This study aimed to fill the gap and reviewed 92 publications from all the TEI conference proceedings (2007–2021). We analysed previous studies’ characteristics (e.g., study purpose and interactive modalities) and elaborated on three common topics: collaborative tangible learning, tangibles’ impacts on learning, and comparisons between tangibles and other interfaces. Three key findings were: (1)&nbsp;Tangibles impacted learning because it could scaffold learning, change learning behaviour, and improve learning emotion; (2)&nbsp;We should see the effectiveness of tangibles with rational and critical minds. (3)&nbsp;Some studies emphasised too much on the interaction of tangibles and ignored their metaphor meanings. For future work, we suggest avoiding an intensive cluster on collaboration and children and consider other valuable areas, e.g., tangibles for teachers, tangibles’ social and emotional impacts on students, tangible interaction’s meaning and metaphor.",,10.1145/3490149.3501313,https://doi.org/10.1145/3490149.3501313,,,"TEI, TUI, children, collaborative learning, tangible interaction, tangible learning, tangible user interface",Association for Computing Machinery,,,,Articles that omits the tabletop technique,45770.6051967593,45776.6874537037,gmfreitas,gmfreitas,Rejected,
,Truesight Battle Grid - Enhancing the Game Experience of Tabletop Role-Playing through Tangible Data Visualization,"Plijnaer, Bas A. and O'Neill, Daisy and Kompier, Eloisa and Wallner, G\""{u}nter and Bernhaupt, Regina",,2020,ACM Digital Library,103–107,,"Data visualization is often used in computer gaming to provide feedback to players. However, little research has investigated its potential in hybrid physical/digital tabletop games, or for tabletop role-playing games. Building upon the benefits of tangible interfaces we introduce and report on the design of the Truesight Battle Grid, a modular, tangible battle grid for the role-playing game Dungeons \&amp; Dragons. Through visualizing game-play possibilities with lights, it aims to provide players with information about the fantasy world without being distracting. We report on a preliminary evaluation with two focus groups - showing that the tool was helpful and is able to contribute to an engaged audience - and reflect on possibilities for future work.",,10.1145/3383668.3419931,https://doi.org/10.1145/3383668.3419931,,,"dungeons \&amp; dragons, tabletop role-playing games, tangible data visualization",Association for Computing Machinery,,,,Study describing digital tabletop application that mentions the hardware used,45770.6051967593,45782.9231597222,gmfreitas,gmfreitas,Accepted,
,Xylocode: A Novel Approach to Fostering Interest in Computer Science via an Embodied Music Simulation,"Long, Duri and Yang, Jiaxi and Naomi, Cassandra and Magerko, Brian",,2024,ACM Digital Library,,,"Fostering learners’ interest remains an important challenge in computer science (CS) education. In this paper, we explore how creative music-making, tangible interfaces, and embodiment can be used toward this end. The primary contribution of this paper is Xylocode, a novel exhibit that introduces middle school age learners to computing concepts and fosters interest in CS via a tangible playspace for making music using an embodied simulation. We additionally present an in-museum evaluation of Xylocode with 29 middle school age children. Our results indicate that the exhibit fosters situational interest in computer science and leads to recognition of certain computing concepts, including arrays and global variables. Future research is needed to assess whether the exhibit leads to longer-term learning and/or interest gains and to explore why other computing concepts were not recognized by as many learners. We identify several implications and directions for future work based on our findings.",,10.1145/3613904.3642098,https://doi.org/10.1145/3613904.3642098,,,"CS education, informal learning, interest development, museum exhibit, music and computing, tangible user interfaces",Association for Computing Machinery,,,,Study describing digital tabletop application that mentions the hardware used,45770.6051967593,45782.9161689815,gmfreitas,gmfreitas,Accepted,
,Tangible and Embodied Interaction,,,2022,ACM Digital Library,,,"This book investigates multiple facets of the emerging discipline of Tangible, Embodied, and Embedded Interaction (TEI). This is a story of atoms and bits. We explore the interweaving of the physical and digital, toward understanding some of their wildly varying hybrid forms and behaviors. Spanning conceptual, philosophical, cognitive, design, and technical aspects of interaction, this book charts both history and aspirations for the future of TEI. We examine and celebrate diverse trailblazing works, and provide wide-ranging conceptual and pragmatic tools toward weaving the animating fires of computation and technology into evocative tangible forms. We also chart a path forward for TEI engagement with broader societal and sustainability challenges that will profoundly (re)shape our children’s and grandchildren’s futures. We invite you all to join this quest.",,,https://doi.org/10.1145/3544564.3544570,,,,Association for Computing Machinery,,,,Articles that omits the tabletop technique,45770.6051967593,45776.6870949074,gmfreitas,gmfreitas,Rejected,
,Tangible activities for children with developmental disorders,"Bonillo, Clara and Cerezo, Eva and Baldassarri, Sandra and Marco, Javier",,2016,ACM Digital Library,,,"This work presents the design and implementation of activities for the tangible tabletop NIKVision, specially focused for children with developmental disorders. The evaluation carried out with final users was very satisfactory, and allowed to modify and improve, not only the activities but also the software used.",,10.1145/2998626.2998656,https://doi.org/10.1145/2998626.2998656,,,"Developmental disorders, Tabletop, Tangible Interaction, children",Association for Computing Machinery,,,,The digital tabletop interface was not tangible,45770.6051967593,45775.9174768519,gmfreitas,gmfreitas,Rejected,"NikVision é uma pseudo tabletop feita pra crianças, o input é feito na horizontal, mas o display é em uma tela separada na vertical, por isso to descartando estudos sobre a nikvision."
,Tangible Collaboration: A Human-Centered Approach for Sharing Control With an Actuated-Interface,"Zuckerman, Oren and Press, Viva Sarah and Barda, Ehud and Megidish, Benny and Erel, Hadas",,2022,ACM Digital Library,,,"Autonomous actuated-interfaces provide a unique research opportunity for shared-control interfaces, as the human and the interface collaborate using the physical interaction modality, manipulating the same physical elements at the same time. Prior studies show that sharing control with physical modality interfaces often results in frustration and low sense-of-control. We designed and implemented adaptive behavior for shared-control actuated-interfaces that extends prior work by providing humans the ability to anticipate the autonomous action, and then accept or override it. Results from a controlled study with 24 participants indicate better collaboration in the Adaptive condition compared with the Non-adaptive one, with improved sense-of-control, feelings of teamwork, and overall collaboration quality. Our work contributes to shared-control tangible, shape-change, and actuated interfaces. We show that leveraging minimal non-verbal social cues to physically communicate the actuated-interface’s intent, coupled with providing autonomy to the human to physically accept or override the shift-in-control, improves the shared-control collaboration.",,10.1145/3491102.3517449,https://doi.org/10.1145/3491102.3517449,,,"Actuated interface, Human-centered., Qualitative Methods, Shape change, Shared-control, Tangible collaboration",Association for Computing Machinery,,,,The digital tabletop interface was not tangible,45770.6051967593,45776.6852430556,gmfreitas,gmfreitas,Rejected,
,Enabling tangible interaction on capacitive touch panels,"Yu, Neng-Hao and Chan, Li-Wei and Cheng, Lung-Pan and Chen, Mike Y. and Hung, Yi-Ping",,2010,ACM Digital Library,457–458,,"We propose two approaches to sense tangible objects on capacitive touch screens, which are used in off-the-shelf multi-touch devices such as Apple iPad, iPhone, and 3M's multi-touch displays. We seek for the approaches that do not require modifications to the panels: spatial tag and frequency tag. Spatial tag is similar to fiducial tag used by tangible tabletop surface interaction, and uses multi-point, geometric patterns to encode object IDs. Frequency tag simulates high-frequency touches in the time domain to encode object IDs, using modulation circuits embedded inside tangible objects to simulate high-speed touches in varying frequency. We will show several demo applications. The first combines simultaneous tangible + touch input system. This explores how tangible inputs (e.g., pen, easer, etc.) and some simple gestures work together on capacitive touch panels.",,10.1145/1866218.1866269,https://doi.org/10.1145/1866218.1866269,,,"interactive surface, markers, physical interaction, tangible",Association for Computing Machinery,,,,Articles that omits the tabletop technique,45770.6051967593,45772.8287384259,gmfreitas,gmfreitas,Rejected,
,"TEI '25: Proceedings of the Nineteenth International Conference on Tangible, Embedded, and Embodied Interaction",,,2025,ACM Digital Library,,,None,,,,,,,Association for Computing Machinery,,,,"Incomplete works, posters, summaries",45770.6051967593,45776.7384375,gmfreitas,gmfreitas,Rejected,
,KaavadBits: Exploring Tangible Interactive Storytelling of Branching Narratives through a Kaavad-inspired Installation,"Shashwat, Saumik and Padmagirwar, Aditya and Arora, Shivoy and Srivastava, Anmol",,2024,ACM Digital Library,,,"This work explores branching narratives through KaavadBits, a tabletop art installation embodying the kaavadiya-jajmaan or the narrator-patron perspective of kaavad baanchana, the Indian storytelling tradition of reciting the kaavad. For diegetic worldbuilding of tales from Panchatantra, a compilation of ancient Indian animal fables, the narrator takes the physical form of a tree, with which the audience interacts using tokens for a seamless multi-modal storytelling experience. Building on the related explorations, we propose a novel design that immerses the audience through choice, character and question-based interactions. We discuss the insights from a pilot user study and directions for future work. Through this paper, we aim to strike consequential tangible, technological and narrative explorations into various lesser-known traditional forms of storytelling that may inspire new interaction techniques, ultimately preserving the intangible heritages.",,10.1145/3623509.3635251,https://doi.org/10.1145/3623509.3635251,,,"Branching Narratives, Embodied Interaction, Interactive Storytelling, Kaavad, Tangible Interaction",Association for Computing Machinery,,,,The digital tabletop interface was not tangible,45770.6051967593,45776.7274537037,gmfreitas,gmfreitas,Rejected,
,Supporting Situation Awareness in Collaborative Tabletop Systems with Automation,"Chang, Y.-L. Betty and Scott, Stacey D. and Hancock, Mark",,2014,ACM Digital Library,185–194,,"Human operators collaborating to complete complex tasks, such as a team of emergency response operators, need to maintain a high level of situation awareness to appropriate-ly and quickly respond to critical changes. Even though automation can help manage complex tasks and rapidly update information, it may create confusion that negatively impacts operators' situation awareness, and result in sub-optimal decisions. To improve situation awareness in co-located environments on digital tabletop computers, we developed an interactive event timeline that enables exploration of historical system events, using a collaborative digital board game as a case study. We conducted a user study to examine two factors, placement of timelines for multiple users and location of awareness feedback, to understand their impact on situation awareness. The study revealed that interaction with the timeline was correlated with improved situation awareness, and that displaying feedback both on the game board and timeline was the most preferred.",,10.1145/2669485.2669496,https://doi.org/10.1145/2669485.2669496,,,"automation, collaboration, digital tabletop, gaming, interaction design, situation awareness",Association for Computing Machinery,,,,Study describing digital tabletop application that mentions the hardware used,45770.6051967593,45782.7809259259,gmfreitas,gmfreitas,Accepted,
,TAPE: Tangible Augmented Previz Environment for Filmmaking,"Fei, Guangzheng and Liu, Dake",,2024,ACM Digital Library,251–262,,"This paper presents TAPE, a tangible augmented previsualization environment for filmmaking. Using tangible interfaces and augmented reality technology, TAPE combines physical props and virtual elements, allowing users to manipulate and position objects within and beyond a tabletop space to visualize and refine their film concepts. The paper describes the overall design of the TAPE system and presents key features of the integration of TUI and AR technology. The system was evaluated in a between-subjects user study with film professionals and students, demonstrating its potential to enhance the creative process and facilitate collaboration.",,10.1145/3629606.3629629,https://doi.org/10.1145/3629606.3629629,,,"Augmented Reality, Filmmaking, Previsualization, Tangible User Interface",Association for Computing Machinery,,,,,45770.6051967593,45770.6051967593,gmfreitas,,Unclassified,
